mrna_id	gene_id	locus_tag	chrom	old_start	old_end	new_start	new_end	overlap_gene_id	overlap_locus_tag	overlap_start	overlap_end	overlap_strand
rna-NM_001178869.1	gene-YEL054C	YEL054C	NC_001137.3	52721	53218	52181	53218	gene-YNCE0001C	YNCE0001C	52150	52320	-
rna-NM_001178863.1	gene-YEL048C	YEL048C	NC_001137.3	64709	65167	62797	65167	gene-YEL049W	YEL049W	63728	64090	+
rna-NM_001178855.3	gene-YEL040W	YEL040W	NC_001137.3	78053	79456	78053	79689	gene-YEL039C	YEL039C	79636	79977	-
rna-NM_001178849.3	gene-YEL034W	YEL034W	NC_001137.3	85676	86149	85676	86368	gene-YEL033W	YEL033W	86179	86598	+
rna-NM_001178844.1	gene-YEL029C	YEL029C	NC_001137.3	96858	97796	96494	97796	gene-YEL030W	YEL030W	94644	96578	+
rna-NM_001178845.1	gene-YEL030W	YEL030W	NC_001137.3	94644	96578	94644	96948	gene-YEL029C	YEL029C	96858	97796	-
rna-NM_001178842.3	gene-YEL027W	YEL027W	NC_001137.3	100769	101251	100769	102300	gene-YEL026W	YEL026W	101943	102323	+
rna-NM_001178839.3	gene-YEL024W	YEL024W	NC_001137.3	107260	107907	107260	108525	gene-YEL023C	YEL023C	108504	110552	-
rna-NM_001184349.1	gene-YEL020W-A	YEL020W-A	NC_001137.3	117211	117474	117211	117671	gene-YNCE0007C	YNCE0007C	117667	118035	-
rna-NM_001180029.1	gene-YEL017C-A	YEL017C-A	NC_001137.3	122798	122929	122091	122929	gene-YEL018W	YEL018W	121471	122310	+
rna-NM_001178831.1	gene-YEL016C	YEL016C	NC_001137.3	124737	126218	124560	126218	gene-YEL017W	YEL017W	123657	124670	+
rna-NM_001178832.3	gene-YEL017W	YEL017W	NC_001137.3	123657	124670	123657	124767	gene-YEL016C	YEL016C	124737	126218	-
rna-NM_001178830.1	gene-YEL015W	YEL015W	NC_001137.3	126629	128284	126629	128751	gene-YEL014C	YEL014C	128303	128608	-
rna-NM_001178819.1	gene-YEL004W	YEL004W	NC_001137.3	146951	147979	146951	148331	gene-YEL003W	YEL003W	148176	148599	+
rna-NM_001178817.3	gene-YEL002C	YEL002C	NC_001137.3	148722	150014	148562	150014	gene-YEL003W	YEL003W	148176	148599	+
rna-NM_001178818.1	gene-YEL003W	YEL003W	NC_001137.3	148176	148599	148176	148723	gene-YEL002C	YEL002C	148722	150014	-
rna-NM_001178816.1	gene-YEL001C	YEL001C	NC_001137.3	150301	150978	149991	150978	gene-YEL002C	YEL002C	148722	150014	-
rna-NM_001178894.1	gene-YER003C	YER003C	NC_001137.3	157736	159118	157436	159118	gene-YER002W	YER002W	156803	157498	+
rna-NM_001178896.3	gene-YER005W	YER005W	NC_001137.3	160550	162442	160550	162741	gene-YER006W	YER006W	162723	164285	+
rna-NM_001180857.3	gene-YER007C-A	YER007C-A	NC_001137.3	166237	166885	165671	166885	gene-YER007W	YER007W	164527	166083	+
rna-NM_001178900.1	gene-YER009W	YER009W	NC_001137.3	172115	172492	172115	172753	gene-YER010C	YER010C	172634	173338	-
rna-NM_001178905.1	gene-YER014W	YER014W	NC_001137.3	182600	184219	182600	184349	gene-YER014C-A	YER014C-A	183731	184700	-
rna-NM_001178906.3	gene-YER015W	YER015W	NC_001137.3	184541	186775	184541	187028	gene-YER014C-A	YER014C-A	183731	184700	-
rna-NM_001178909.3	gene-YER018C	YER018C	NC_001137.3	191959	192624	189536	192624	gene-YER017C	YER017C	189503	191788	-
rna-NM_001180031.1	gene-YER019C-A	YER019C-A	NC_001137.3	194273	194539	192438	194539	gene-YER018C	YER018C	191959	192624	-
rna-NM_001180031.1	gene-YER019C-A	YER019C-A	NC_001137.3	194273	194539	192438	194539	gene-YER019W	YER019W	192797	194230	+
rna-NM_001178910.1	gene-YER019W	YER019W	NC_001137.3	192797	194230	192797	194327	gene-YER019C-A	YER019C-A	194273	194539	-
rna-NM_001178911.3	gene-YER020W	YER020W	NC_001137.3	195168	196517	195168	197181	gene-YER021W	YER021W	196948	198519	+
rna-NM_001178914.3	gene-YER023W	YER023W	NC_001137.3	201076	201936	201076	203074	gene-YER024W	YER024W	202192	204963	+
rna-NM_001178917.3	gene-YER026C	YER026C	NC_001137.3	207644	208474	207416	208474	gene-YNCE0013W	YNCE0013W	207357	207428	+
rna-NM_001178922.1	gene-YER031C	YER031C	NC_001137.3	214076	214747	213753	214747	gene-YER030W	YER030W	213437	213898	+
rna-NM_001178921.1	gene-YER030W	YER030W	NC_001137.3	213437	213898	213437	214437	gene-YER031C	YER031C	214076	214747	-
rna-NM_001178925.1	gene-YER034W	YER034W	NC_001137.3	221846	222403	221846	222744	gene-YER035W	YER035W	222639	223076	+
rna-NM_001178929.3	gene-YER038C	YER038C	NC_001137.3	226858	228252	226056	228252	gene-YER037W	YER037W	225889	226854	+
rna-NM_001178928.1	gene-YER037W	YER037W	NC_001137.3	225889	226854	225889	227074	gene-YER038C	YER038C	226858	228252	-
rna-NM_001178930.1	gene-YER039C	YER039C	NC_001137.3	228456	229205	228326	229205	gene-YER038W-A	YER038W-A	228451	228831	+
rna-NM_001184319.1	gene-YER039C-A	YER039C-A	NC_001137.3	229263	229481	228799	229481	gene-YER038W-A	YER038W-A	228451	228831	+
rna-NM_001184319.1	gene-YER039C-A	YER039C-A	NC_001137.3	229263	229481	228799	229481	gene-YER039C	YER039C	228456	229205	-
rna-NM_001301348.1	gene-YER038W-A	YER038W-A	NC_001137.3	228451	228831	228451	229594	gene-YER039C	YER039C	228456	229205	-
rna-NM_001301348.1	gene-YER038W-A	YER038W-A	NC_001137.3	228451	228831	228451	229594	gene-YER039C-A	YER039C-A	229263	229481	-
rna-NM_001178941.3	gene-YER050C	YER050C	NC_001137.3	253971	254387	253654	254387	gene-YER049W	YER049W	251728	253662	+
rna-NM_001178947.1	gene-YER056C	YER056C	NC_001137.3	266512	268113	264973	268113	gene-YER055C	YER055C	264892	265785	-
rna-NM_001178952.2	gene-YER061C	YER061C	NC_001137.3	278298	279626	277831	279626	gene-YER060W-A	YER060W-A	276572	278164	+
rna-NM_001180858.1	gene-YER060W-A	YER060W-A	NC_001137.3	276572	278164	276572	278311	gene-YER061C	YER061C	278298	279626	-
rna-NM_001178955.1	gene-YER064C	YER064C	NC_001137.3	282705	284222	281575	284222	gene-YER063W	YER063W	281710	282366	+
rna-NM_001184512.1	gene-YER074W-A	YER074W-A	NC_001137.3	307653	308123	307653	308520	gene-YER075C	YER075C	308413	311199	-
rna-NM_001178971.1	gene-YER080W	YER080W	NC_001137.3	319963	321846	319963	322230	gene-YNCE0017W	YNCE0017W	322212	322762	+
rna-NM_001178973.1	gene-YER082C	YER082C	NC_001137.3	324272	325936	323918	325936	gene-YER081W	YER081W	322686	324095	+
rna-NM_001178972.3	gene-YER081W	YER081W	NC_001137.3	322686	324095	322686	324278	gene-YNCE0017W	YNCE0017W	322212	322762	+
rna-NM_001178972.3	gene-YER081W	YER081W	NC_001137.3	322686	324095	322686	324278	gene-YER082C	YER082C	324272	325936	-
rna-NM_001178974.1	gene-YER083C	YER083C	NC_001137.3	326174	327031	325831	327031	gene-YER082C	YER082C	324272	325936	-
rna-NM_001180032.3	gene-YER087C-B	YER087C-B	NC_001137.3	332582	332830	332218	332830	gene-YER087W	YER087W	330576	332306	+
rna-NM_001178983.3	gene-YER092W	YER092W	NC_001137.3	342855	343232	342855	343701	gene-YER093C	YER093C	343320	347612	-
rna-NM_001178990.3	gene-YER099C	YER099C	NC_001137.3	358105	359061	355850	359061	gene-YER098W	YER098W	355466	357730	+
rna-NM_001178989.1	gene-YER098W	YER098W	NC_001137.3	355466	357730	355466	358153	gene-YER099C	YER099C	358105	359061	-
rna-NM_001178995.3	gene-YER104W	YER104W	NC_001137.3	366802	367428	366802	369162	gene-YER105C	YER105C	367838	372013	-
rna-NM_001178998.3	gene-YER107C	YER107C	NC_001137.3	373448	374545	373204	374545	gene-YER106W	YER106W	372326	373234	+
rna-NM_001179003.3	gene-YER113C	YER113C	NC_001137.3	387932	390052	387786	390052	gene-YER112W	YER112W	387232	387795	+
rna-NM_001179006.3	gene-YER116C	YER116C	NC_001137.3	395348	396172	394522	396172	gene-YER115C	YER115C	394292	394867	-
rna-NM_001179007.3	gene-YER117W	YER117W	NC_001137.3	396769	397653	396769	398087	gene-YER118C	YER118C	397952	399055	-
rna-NM_001179011.3	gene-YER121W	YER121W	NC_001137.3	402375	402719	402375	402912	gene-YER122C	YER122C	402871	404352	-
rna-NM_001348826.1	gene-YER135C	YER135C	NC_001137.3	437952	438344	437380	438344	gene-YER134C	YER134C	437267	437803	-
rna-NM_001179030.3	gene-YER140W	YER140W	NC_001137.3	451565	453235	451565	453628	gene-YER141W	YER141W	453459	454919	+
rna-NM_001179031.1	gene-YER141W	YER141W	NC_001137.3	453459	454919	453459	455158	gene-YER142C	YER142C	455146	456036	-
rna-NM_001179033.3	gene-YER143W	YER143W	NC_001137.3	456319	457605	456319	457812	gene-YER144C	YER144C	457806	460223	-
rna-NM_001179037.3	gene-YER147C	YER147C	NC_001137.3	462968	464842	462770	464842	gene-YER145C-A	YER145C-A	462386	462823	-
rna-NM_001179037.3	gene-YER147C	YER147C	NC_001137.3	462968	464842	462770	464842	gene-YER146W	YER146W	462585	462866	+
rna-NM_001179036.1	gene-YER146W	YER146W	NC_001137.3	462585	462866	462585	462951	gene-YER145C-A	YER145C-A	462386	462823	-
rna-NM_001179038.3	gene-YER148W	YER148W	NC_001137.3	465303	466025	465303	466372	gene-YER149C	YER149C	466208	467470	-
rna-NM_001179061.3	gene-YER171W	YER171W	NC_001137.3	527082	529418	527082	529742	gene-YER172C	YER172C	529530	536021	-
rna-NM_001179063.1	gene-YER173W	YER173W	NC_001137.3	536300	538279	536300	538451	gene-YER174C	YER174C	538434	539168	-
rna-NM_001179065.3	gene-YER175C	YER175C	NC_001137.3	539464	540363	539125	540363	gene-YER174C	YER174C	538434	539168	-
rna-NM_001179069.1	gene-YER179W	YER179W	NC_001137.3	548421	549517	548421	549771	gene-YER180C	YER180C	549724	550527	-
rna-NM_001184517.3	gene-YER180C-A	YER180C-A	NC_001137.3	550865	551122	549959	551122	gene-YER180C	YER180C	549724	550527	-
rna-NM_001179073.1	gene-YER183C	YER183C	NC_001137.3	553334	553969	553238	553969	gene-YER182W	YER182W	552525	553259	+
rna-NM_001179072.3	gene-YER182W	YER182W	NC_001137.3	552525	553259	552525	553357	gene-YER183C	YER183C	553334	553969	-
rna-NM_001181643.1	gene-YJL210W	YJL210W	NC_001142.9	36919	37734	36919	38154	gene-YJL209W	YJL209W	38005	39969	+
rna-NM_001181641.1	gene-YJL208C	YJL208C	NC_001142.9	40194	41183	39495	41183	gene-YJL209W	YJL209W	38005	39969	+
rna-NM_001181636.1	gene-YJL203W	YJL203W	NC_001142.9	53341	54183	53341	54465	gene-YJL201W	YJL201W	54379	56178	+
rna-NM_001181625.1	gene-YJL192C	YJL192C	NC_001142.9	72710	73414	72549	73414	gene-YJL193W	YJL193W	71366	72574	+
rna-NM_001181626.1	gene-YJL193W	YJL193W	NC_001142.9	71366	72574	71366	72727	gene-YJL192C	YJL192C	72710	73414	-
rna-NM_001181624.1	gene-YJL191W	YJL191W	NC_001142.9	73787	74611	73787	74936	gene-YJL190C	YJL190C	74910	75302	-
rna-NM_001181618.1	gene-YJL185C	YJL185C	NC_001142.9	82095	82976	81903	82976	gene-YJL186W	YJL186W	80155	81915	+
rna-NM_001181619.2	gene-YJL186W	YJL186W	NC_001142.9	80155	81915	80155	82141	gene-YJL185C	YJL185C	82095	82976	-
rna-NM_001181617.1	gene-YJL184W	YJL184W	NC_001142.9	83448	83819	83448	84237	gene-YJL183W	YJL183W	84068	85336	+
rna-NM_001181613.1	gene-YJL180C	YJL180C	NC_001142.9	87583	88560	87481	88560	gene-YJL181W	YJL181W	85660	87495	+
rna-NM_001181614.1	gene-YJL181W	YJL181W	NC_001142.9	85660	87495	85660	88766	gene-YJL180C	YJL180C	87583	88560	-
rna-NM_001181611.1	gene-YJL178C	YJL178C	NC_001142.9	89282	90097	89110	90097	gene-YJL179W	YJL179W	88787	89116	+
rna-NM_001181612.2	gene-YJL179W	YJL179W	NC_001142.9	88787	89116	88787	89334	gene-YJL178C	YJL178C	89282	90097	-
rna-NM_001181607.1	gene-YJL174W	YJL174W	NC_001142.9	95092	95922	95092	96221	gene-YJL173C	YJL173C	96161	96529	-
rna-NM_001181604.2	gene-YJL171C	YJL171C	NC_001142.9	99704	100894	99315	100894	gene-YJL172W	YJL172W	97737	99467	+
rna-NM_001181599.1	gene-YJL166W	YJL166W	NC_001142.9	106434	106718	106434	107051	gene-YJL165C	YJL165C	106894	109461	-
rna-NM_001181584.1	gene-YJL151C	YJL151C	NC_001142.9	136372	136773	135911	136773	gene-YJL153C	YJL153C	134332	135933	-
rna-NM_001181581.1	gene-YJL148W	YJL148W	NC_001142.9	140437	141138	140437	142094	gene-YJL147C	YJL147C	141419	142567	-
rna-NM_001181576.1	gene-YJL143W	YJL143W	NC_001142.9	147101	147577	147101	149372	gene-YJL142C	YJL142C	147819	148211	-
rna-NM_001181576.1	gene-YJL143W	YJL143W	NC_001142.9	147101	147577	147101	149372	gene-YJL141C	YJL141C	147967	150390	-
rna-NM_001395034.1	gene-YJL142C	YJL142C	NC_001142.9	147819	148211	147810	148211	gene-YJL141C	YJL141C	147967	150390	-
rna-NM_001181574.1	gene-YJL141C	YJL141C	NC_001142.9	147967	150390	147861	150390	gene-YJL142C	YJL142C	147819	148211	-
rna-NM_001181572.1	gene-YJL139C	YJL139C	NC_001142.9	151713	152999	150871	152999	gene-YJL140W	YJL140W	150961	151626	+
rna-NM_001181573.1	gene-YJL140W	YJL140W	NC_001142.9	150961	151626	150961	151796	gene-YJL139C	YJL139C	151713	152999	-
rna-NM_001181570.1	gene-YJL137C	YJL137C	NC_001142.9	154985	156127	154673	156127	gene-YJL138C	YJL138C	153504	154691	-
rna-NM_001181569.1	gene-YJL136C	YJL136C	NC_001142.9	156550	157273	156179	157273	gene-YJL136W-A	YJL136W-A	156169	156252	+
rna-NM_001184636.1	gene-YJL133C-A	YJL133C-A	NC_001142.9	159623	159847	159410	159847	gene-YJL134W	YJL134W	158188	159417	+
rna-NM_001181567.1	gene-YJL134W	YJL134W	NC_001142.9	158188	159417	158188	159624	gene-YJL133C-A	YJL133C-A	159623	159847	-
rna-NM_001181564.1	gene-YJL131C	YJL131C	NC_001142.9	164278	165348	163884	165348	gene-YJL132W	YJL132W	161914	164166	+
rna-NM_001181565.1	gene-YJL132W	YJL132W	NC_001142.9	161914	164166	161914	164317	gene-YJL131C	YJL131C	164278	165348	-
rna-NM_001181558.1	gene-YJL125C	YJL125C	NC_001142.9	185528	186679	185394	186679	gene-YJL126W	YJL126W	184501	185424	+
rna-NM_001181559.1	gene-YJL126W	YJL126W	NC_001142.9	184501	185424	184501	185567	gene-YJL125C	YJL125C	185528	186679	-
rna-NM_001181555.1	gene-YJL122W	YJL122W	NC_001142.9	189716	190243	189716	190398	gene-YJL121C	YJL121C	190374	191090	-
rna-NM_001181541.1	gene-YJL108C	YJL108C	NC_001142.9	217705	218856	217474	218856	gene-YJL107C	YJL107C	218853	220016	-
rna-NM_001181534.1	gene-YJL101C	YJL101C	NC_001142.9	234320	236356	234002	236356	gene-YNCJ0008W	YNCJ0008W	233939	234011	+
rna-NM_001181527.1	gene-YJL094C	YJL094C	NC_001142.9	251821	254442	251658	254442	gene-YJL095W	YJL095W	247255	251691	+
rna-NM_001181524.1	gene-YJL091C	YJL091C	NC_001142.9	261080	262552	260533	262552	gene-YJL092W	YJL092W	257423	260947	+
rna-NM_001181525.1	gene-YJL092W	YJL092W	NC_001142.9	257423	260947	257423	261110	gene-YJL091C	YJL091C	261080	262552	-
rna-NM_001181520.1	gene-YJL087C	YJL087C	NC_001142.9	270002	272485	269795	272485	gene-YJL088W	YJL088W	268799	269815	+
rna-NM_001181521.1	gene-YJL088W	YJL088W	NC_001142.9	268799	269815	268799	270047	gene-YJL087C	YJL087C	270002	272485	-
rna-NM_001270753.1	gene-YJL077W-A	YJL077W-A	NC_001142.9	294799	294885	294799	295059	gene-YJL077C	YJL077C	294666	295061	-
rna-NM_001181509.1	gene-YJL076W	YJL076W	NC_001142.9	295245	298814	295245	299008	gene-YJL075C	YJL075C	298460	298876	-
rna-NM_001181505.1	gene-YJL072C	YJL072C	NC_001142.9	305221	305862	304627	305862	gene-YJL073W	YJL073W	303181	305118	+
rna-NM_001181504.1	gene-YJL071W	YJL071W	NC_001142.9	306132	307856	306132	307975	gene-YJL070C	YJL070C	307971	310637	-
rna-NM_001181499.3	gene-YJL066C	YJL066C	NC_001142.9	314114	314872	313832	314872	gene-YJL068C	YJL068C	313016	313915	-
rna-NM_001181498.1	gene-YJL065C	YJL065C	NC_001142.9	315054	315557	314500	315557	gene-YJL066C	YJL066C	314114	314872	-
rna-NM_001181491.1	gene-YJL058C	YJL058C	NC_001142.9	326242	327873	326184	327873	gene-YJL059W	YJL059W	324964	326190	+
rna-NM_001181492.1	gene-YJL059W	YJL059W	NC_001142.9	324964	326190	324964	326294	gene-YJL058C	YJL058C	326242	327873	-
rna-NM_001181481.1	gene-YJL048C	YJL048C	NC_001142.9	347447	348637	347194	348637	gene-YJL049W	YJL049W	345973	347325	+
rna-NM_001184635.1	gene-YJL047C-A	YJL047C-A	NC_001142.9	349044	349178	348573	349178	gene-YJL048C	YJL048C	347447	348637	-
rna-NM_001184635.1	gene-YJL047C-A	YJL047C-A	NC_001142.9	349044	349178	348573	349178	gene-YNCJ0009C	YNCJ0009C	349130	349233	-
rna-NM_001181477.3	gene-YJL044C	YJL044C	NC_001142.9	358300	359676	357892	359676	gene-YJL045W	YJL045W	356024	357928	+
rna-NM_001181469.1	gene-YJL035C	YJL035C	NC_001142.9	380249	381001	380093	381001	gene-YJL036W	YJL036W	378825	380096	+
rna-NM_001181470.1	gene-YJL036W	YJL036W	NC_001142.9	378825	380096	378825	380366	gene-YJL035C	YJL035C	380249	381001	-
rna-NM_001181464.3	gene-YJL030W	YJL030W	NC_001142.9	387657	388247	387657	389456	gene-YJL029C	YJL029C	388385	390853	-
rna-NM_001181458.3	gene-YJL024C	YJL024C	NC_001142.9	395931	396592	394411	396592	gene-YJL025W	YJL025W	393967	395511	+
rna-NM_001181437.1	gene-YJL003W	YJL003W	NC_001142.9	432644	433000	432644	433429	gene-YJL002C	YJL002C	433221	434651	-
rna-NM_001181659.3	gene-YJR002W	YJR002W	NC_001142.9	438865	440646	438865	441305	gene-YJR003C	YJR003C	440994	442553	-
rna-NM_001181667.1	gene-YJR010C-A	YJR010C-A	NC_001142.9	458077	458361	454730	458361	gene-YJR010W	YJR010W	456239	457774	+
rna-NM_001181669.1	gene-YJR011C	YJR011C	NC_001142.9	458641	459426	458343	459426	gene-YJR010C-A	YJR010C-A	458077	458361	-
rna-NM_001181672.1	gene-YJR014W	YJR014W	NC_001142.9	461829	462425	461829	462775	gene-YJR015W	YJR015W	462721	464253	+
rna-NM_001181690.1	gene-YJR032W	YJR032W	NC_001142.9	491081	492262	491081	492491	gene-YJR033C	YJR033C	492378	496451	-
rna-NM_001181699.3	gene-YJR041C	YJR041C	NC_001142.9	510239	513763	510040	513763	gene-YJR040W	YJR040W	507746	510085	+
rna-NM_001181701.1	gene-YJR043C	YJR043C	NC_001142.9	516461	517513	516276	517513	gene-YJR042W	YJR042W	514055	516289	+
rna-NM_001181700.1	gene-YJR042W	YJR042W	NC_001142.9	514055	516289	514055	516469	gene-YJR043C	YJR043C	516461	517513	-
rna-NM_001181707.1	gene-YJR049C	YJR049C	NC_001142.9	526884	528476	526265	528476	gene-YJR048W	YJR048W	526335	526664	+
rna-NM_001181706.1	gene-YJR048W	YJR048W	NC_001142.9	526335	526664	526335	526986	gene-YJR049C	YJR049C	526884	528476	-
rna-NM_001181716.1	gene-YJR058C	YJR058C	NC_001142.9	544732	545175	544541	545175	gene-YJR057W	YJR057W	544062	544712	+
rna-NM_001181715.1	gene-YJR057W	YJR057W	NC_001142.9	544062	544712	544062	544867	gene-YJR058C	YJR058C	544732	545175	-
rna-NM_001181718.1	gene-YJR060W	YJR060W	NC_001142.9	548759	549814	548759	550592	gene-YJR061W	YJR061W	550511	553318	+
rna-NM_001181720.3	gene-YJR062C	YJR062C	NC_001142.9	553476	554849	551915	554849	gene-YJR061W	YJR061W	550511	553318	+
rna-NM_001181723.3	gene-YJR065C	YJR065C	NC_001142.9	557809	559158	557510	559158	gene-YJR064W	YJR064W	555914	557602	+
rna-NM_001181725.1	gene-YJR067C	YJR067C	NC_001142.9	567019	567444	566054	567444	gene-YJR066W	YJR066W	559416	566828	+
rna-NM_001181727.1	gene-YJR069C	YJR069C	NC_001142.9	568806	569399	568589	569399	gene-YJR068W	YJR068W	567643	568704	+
rna-NM_001181726.3	gene-YJR068W	YJR068W	NC_001142.9	567643	568704	567643	568825	gene-YJR069C	YJR069C	568806	569399	-
rna-NM_001181733.3	gene-YJR075W	YJR075W	NC_001142.9	573981	575171	573981	575444	gene-YJR076C	YJR076C	575354	576601	-
rna-NM_001181738.1	gene-YJR080C	YJR080C	NC_001142.9	580432	581616	580207	581616	gene-YJR078W	YJR078W	578860	580221	+
rna-NM_001181738.1	gene-YJR080C	YJR080C	NC_001142.9	580432	581616	580207	581616	gene-YJR079W	YJR079W	580205	581239	+
rna-NM_001181742.3	gene-YJR085C	YJR085C	NC_001142.9	585120	585437	584946	585437	gene-YJR084W	YJR084W	583733	585004	+
rna-NM_001181741.1	gene-YJR084W	YJR084W	NC_001142.9	583733	585004	583733	585170	gene-YJR085C	YJR085C	585120	585437	-
rna-NM_001181745.1	gene-YJR088C	YJR088C	NC_001142.9	586495	587373	586070	587373	gene-YJR086W	YJR086W	586068	586400	+
rna-NM_001181750.1	gene-YJR093C	YJR093C	NC_001142.9	603220	604203	602251	604203	gene-YJR092W	YJR092W	598735	603078	+
rna-NM_001181758.3	gene-YJR100C	YJR100C	NC_001142.9	616351	617334	616279	617334	gene-YJR099W	YJR099W	615576	616286	+
rna-NM_001181757.1	gene-YJR099W	YJR099W	NC_001142.9	615576	616286	615576	617739	gene-YJR100C	YJR100C	616351	617334	-
rna-NM_001181760.1	gene-YJR102C	YJR102C	NC_001142.9	619157	619765	618972	619765	gene-YJR101W	YJR101W	618234	619034	+
rna-NM_001181759.1	gene-YJR101W	YJR101W	NC_001142.9	618234	619034	618234	619195	gene-YJR102C	YJR102C	619157	619765	-
rna-NM_001181762.1	gene-YJR104C	YJR104C	NC_001142.9	622550	623014	620643	623014	gene-YJR103W	YJR103W	620754	622490	+
rna-NM_001181761.4	gene-YJR103W	YJR103W	NC_001142.9	620754	622490	620754	622568	gene-YJR104C	YJR104C	622550	623014	-
